"","GameClock","Speed"
"1","00:00:00",0.65833386
"2","00:00:00",0.59444492
"3","00:00:00",0.36388918
"4","00:00:00",0.4444448
"5","00:00:00",0.40000032
"6","00:00:00",0
"7","00:00:00",0
"8","00:00:00",0
"9","00:00:00",0
"10","00:00:01",0
"11","00:00:01",0
"12","00:00:01",0
"13","00:00:01",0.39722254
"14","00:00:01",0.37222252
"15","00:00:01",0.34166694
"16","00:00:01",0.37222252
"17","00:00:01",0
"18","00:00:01",0
"19","00:00:01",0
"20","00:00:02",0
"21","00:00:02",0
"22","00:00:02",0
"23","00:00:02",0
"24","00:00:02",0
"25","00:00:02",0
"26","00:00:02",0
"27","00:00:02",0
"28","00:00:02",0
"29","00:00:02",0
"30","00:00:03",0
"31","00:00:03",0
"32","00:00:03",0
"33","00:00:03",0
"34","00:00:03",0
"35","00:00:03",0
"36","00:00:03",0
"37","00:00:03",0
"38","00:00:03",0
"39","00:00:03",0
"40","00:00:04",0
"41","00:00:04",0
"42","00:00:04",0
"43","00:00:04",0
"44","00:00:04",0
"45","00:00:04",0
"46","00:00:04",0
"47","00:00:04",0
"48","00:00:04",0.36944474
"49","00:00:04",0
"50","00:00:05",0
"51","00:00:05",0.3194447
"52","00:00:05",0
"53","00:00:05",0
"54","00:00:05",0
"55","00:00:05",0.35555584
"56","00:00:05",0.43888924
"57","00:00:05",0.46111148
"58","00:00:05",0.48333372
"59","00:00:05",0.56666712
"60","00:00:06",0.56666712
"61","00:00:06",0.64722274
"62","00:00:06",0.83611178
"63","00:00:06",1.00555636
"64","00:00:06",1.28333436
"65","00:00:06",1.0694453
"66","00:00:06",0.94166742
"67","00:00:06",1.05000084
"68","00:00:06",1.05833418
"69","00:00:06",1.2222232
"70","00:00:07",1.2222232
"71","00:00:07",0.86666736
"72","00:00:07",0.4861115
"73","00:00:07",0.31111136
"74","00:00:07",0
"75","00:00:07",0
"76","00:00:07",0
"77","00:00:07",0
"78","00:00:07",0
"79","00:00:07",0
"80","00:00:08",0
"81","00:00:08",0
"82","00:00:08",0
"83","00:00:08",0
"84","00:00:08",0
"85","00:00:08",0
"86","00:00:08",0.32777804
"87","00:00:08",0
"88","00:00:08",0
"89","00:00:08",0.40833366
"90","00:00:09",0.40833366
"91","00:00:09",0
"92","00:00:09",0.38055586
"93","00:00:09",0.45555592
"94","00:00:09",0.60277826
"95","00:00:09",0.7638895
"96","00:00:09",0.96388966
"97","00:00:09",0.9166674
"98","00:00:09",1.13333424
"99","00:00:09",1.05277862
"100","00:00:10",1.05277862
"101","00:00:10",0.93333408
"102","00:00:10",0.7638895
"103","00:00:10",0.60833382
"104","00:00:10",0.60277826
"105","00:00:10",0.58888936
"106","00:00:10",0.51944486
"107","00:00:10",0.72500058
"108","00:00:10",0.56111156
"109","00:00:10",0.4305559
"110","00:00:11",0.4305559
"111","00:00:11",0
"112","00:00:11",0.32222248
"113","00:00:11",0
"114","00:00:11",0.43888924
"115","00:00:11",0.38333364
"116","00:00:11",0.50833374
"117","00:00:11",0.5972227
"118","00:00:11",0.33888916
"119","00:00:11",0
"120","00:00:12",0
"121","00:00:12",0
"122","00:00:12",0.36388918
"123","00:00:12",0
"124","00:00:12",0.45000036
"125","00:00:12",0.5972227
"126","00:00:12",0.41388922
"127","00:00:12",0.47500038
"128","00:00:12",0.34166694
"129","00:00:12",0
"130","00:00:13",0
"131","00:00:13",0
"132","00:00:13",0
"133","00:00:13",0
"134","00:00:13",0
"135","00:00:13",0
"136","00:00:13",0
"137","00:00:13",0
"138","00:00:13",0
"139","00:00:13",0
"140","00:00:14",0
"141","00:00:14",0
"142","00:00:14",0
"143","00:00:14",0
"144","00:00:14",0
"145","00:00:14",0
"146","00:00:14",0
"147","00:00:14",0
"148","00:00:14",0
"149","00:00:14",0
"150","00:00:15",0
"151","00:00:15",0
"152","00:00:15",0
"153","00:00:15",0
"154","00:00:15",0
"155","00:00:15",0
"156","00:00:15",0.35555584
"157","00:00:15",0
"158","00:00:15",0
"159","00:00:15",0
"160","00:00:16",0
"161","00:00:16",0.4444448
"162","00:00:16",0
"163","00:00:16",0.42222256
"164","00:00:16",0.86944514
"165","00:00:16",0.5000004
"166","00:00:16",0.50277818
"167","00:00:16",0.33055582
"168","00:00:16",0
"169","00:00:16",0
"170","00:00:17",0
"171","00:00:17",0
"172","00:00:17",0
"173","00:00:17",0
"174","00:00:17",0
"175","00:00:17",0
