"","GameID","Half","PlayerID","FrameID","Time","GameClock","Speed","AccelImpulse","AccelLoad","AccelX","AccelY","AccelZ","Longitude","Latitude"
"1",1,1,2,1,"00:22:01","00:00:00",0.65833386,0.6111116,0.00533005577534048,0.1325,0.69875,0.565,55.466666,24.99487317
"2",1,1,2,2,"00:22:01","00:00:00",0.59444492,0.6388894,0.00656811747688387,0.11125,0.92,0.70625,55.46666633,24.99487367
"3",1,1,2,3,"00:22:01","00:00:00",0.36388918,2.3055574,0.00311431412416696,0.01375,0.77,0.6775,55.46666683,24.99487383
"4",1,1,2,4,"00:22:01","00:00:00",0.4444448,0.8055562,0.00260181849059687,0.00625,0.88625,0.595,55.46666717,24.99487417
"5",1,1,2,5,"00:22:01","00:00:00",0.40000032,0.4444448,0.00381313875955484,-0.0175,0.8575,0.57375,55.46666783,24.994874
"6",1,1,2,6,"00:22:01","00:00:00",0,4.0000032,0.00303578524459594,-0.06375,0.90375,0.55125,55.46666817,24.99487417
"7",1,1,2,7,"00:22:01","00:00:00",0,0,0.00443312367406909,-0.06875,1.0175,0.45375,55.4666685,24.994874
"8",1,1,2,8,"00:22:01","00:00:00",0,0,0.00541869611211891,-0.0975,1.08625,0.365,55.466669,24.994874
"9",1,1,2,9,"00:22:01","00:00:00",0,0,0.00584130784068785,-0.13,0.88875,0.53625,55.46666917,24.99487383
"10",1,1,2,10,"00:22:02","00:00:01",0,0,0.00746453922609388,-0.1775,0.8525,0.58875,55.46666917,24.99487383
"11",1,1,2,11,"00:22:02","00:00:01",0,0,0.00554869815877308,-0.1675,0.90875,0.5525,55.46666917,24.99487367
"12",1,1,2,12,"00:22:02","00:00:01",0,0,0.00643076246007117,-0.10875,0.91375,0.55875,55.46666933,24.99487333
"13",1,1,2,13,"00:22:02","00:00:01",0.39722254,3.9722254,0.00507912007908566,-0.05875,0.86375,0.5925,55.46666933,24.99487267
"14",1,1,2,14,"00:22:02","00:00:01",0.37222252,0.2500002,0.00404378877347331,-0.01375,0.84375,0.60375,55.4666695,24.99487217
"15",1,1,2,15,"00:22:02","00:00:01",0.34166694,0.3055558,0.00151828304624275,0.0575,0.895,0.61125,55.46666933,24.994872
"16",1,1,2,16,"00:22:02","00:00:01",0.37222252,0.3055558,0.00237711399515099,0.0825,0.87875,0.5925,55.46666917,24.99487183
"17",1,1,2,17,"00:22:02","00:00:01",0,3.7222252,0.00382621886727064,0.12625,0.84,0.61625,55.46666917,24.99487167
"18",1,1,2,18,"00:22:02","00:00:01",0,0,0.00490908674550746,0.07625,0.94,0.58,55.46666917,24.99487167
"19",1,1,2,19,"00:22:02","00:00:01",0,0,0.00652974044657235,-0.01125,0.8625,0.605,55.4666695,24.99487183
"20",1,1,2,20,"00:22:03","00:00:02",0,0,0.00565059390667677,0.10375,0.8825,0.58125,55.4666695,24.99487183
"21",1,1,2,21,"00:22:03","00:00:02",0,0,0.003505238100148,-0.0225,0.93125,0.5625,55.46667017,24.99487217
"22",1,1,2,22,"00:22:03","00:00:02",0,0,0.0028293857593976,-0.07625,0.84125,0.615,55.46667033,24.99487233
"23",1,1,2,23,"00:22:03","00:00:02",0,0,0.00326489926259308,-0.09875,0.83625,0.6275,55.4666705,24.9948725
"24",1,1,2,24,"00:22:03","00:00:02",0,0,0.00548635022151868,0.05625,0.81125,0.605,55.46667067,24.9948725
"25",1,1,2,25,"00:22:03","00:00:02",0,0,0.003774068468524,0.25375,0.7975,0.56625,55.466671,24.9948725
"26",1,1,2,26,"00:22:03","00:00:02",0,0,0.00265313242736401,0.30875,0.875,0.50625,55.466671,24.99487233
"27",1,1,2,27,"00:22:03","00:00:02",0,0,0.00276942389583625,0.36875,0.9625,0.4,55.466671,24.99487217
"28",1,1,2,28,"00:22:03","00:00:02",0,0,0.00357595432617587,0.41625,0.98875,0.3975,55.46667117,24.99487217
"29",1,1,2,29,"00:22:03","00:00:02",0,0,0.00394272582629446,0.31125,1.00125,0.39625,55.46667117,24.994872
"30",1,1,2,30,"00:22:04","00:00:03",0,0,0.00527455538091387,0.3725,1.065,0.3125,55.46667117,24.994872
"31",1,1,2,31,"00:22:04","00:00:03",0,0,0.00517752444679769,0.175,0.85375,0.42375,55.4666715,24.99487183
"32",1,1,2,32,"00:22:04","00:00:03",0,0,0.0057349940617289,0.17125,0.87,0.5875,55.46667167,24.99487183
"33",1,1,2,33,"00:22:04","00:00:03",0,0,0.0060956677330819,0.0275,0.83625,0.59125,55.46667183,24.99487183
"34",1,1,2,34,"00:22:04","00:00:03",0,0,0.0140507452618704,0.145,1.0475,0.465,55.46667217,24.99487183
"35",1,1,2,35,"00:22:04","00:00:03",0,0,0.0129827876724923,-0.06,0.985,0.41,55.4666725,24.99487167
"36",1,1,2,36,"00:22:04","00:00:03",0,0,0.00832296850104455,-0.04875,0.8625,0.53625,55.46667267,24.9948715
"37",1,1,2,37,"00:22:04","00:00:03",0,0,0.00709885840704091,0.14375,0.8625,0.57375,55.46667283,24.9948715
"38",1,1,2,38,"00:22:04","00:00:03",0,0,0.00694502250770492,0.04375,0.89625,0.595,55.46667267,24.9948715
"39",1,1,2,39,"00:22:04","00:00:03",0,0,0.00197240896804561,0.00375,1.01375,0.43625,55.46667267,24.9948715
